Decision Item,Source ID,Source Type,Original Alignment,Case,Original Statement,Decision Substatement,Decision,Requirement Status,Implementation Status,Delivery,Finding Group,Technical Debt Ref,Rationale,E4 Source Evidence,Audit Notes,Affected Documents
FR-026a,FR-026,Requirement,PARTIAL_MATCH,Case B,二変量の散布、箱ひげ、クロス集計および関連指標を生成できる,Existing association/bivariate capability,D1,ACTIVE,IMPLEMENTED,BASELINE,exploratory_workflow,,現実装で成立しているassociation capabilityを正本とする。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,"Association operations exist, but the full requested scatter/box/crosstab surface set is not implemented as stated.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-026b,FR-026,Requirement,PARTIAL_MATCH,Case B,二変量の散布、箱ひげ、クロス集計および関連指標を生成できる,Full scatter/box/crosstab surface set,D3,DEFERRED,PARTIAL,FUTURE,exploratory_workflow,TD-007,追加visualization surfaceはfutureへ送る。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,"Association operations exist, but the full requested scatter/box/crosstab surface set is not implemented as stated.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-034,FR-034,Requirement,PARTIAL_MATCH,Case B,可視化の描画条件、集計条件、samplingおよびcode versionを保存する,Persist analysis-significant rendering/aggregation/sampling parameters,D2,ACTIVE,PARTIAL,ENH-E5,exploratory_workflow,,Findings/handoffの再構成可能性のため分析意味を変える条件を保存する。,capabilities/exploratory/planner.py; capabilities/exploratory/runners.py; interfaces/web_api/routers/exploration.py,"Sampling/spec/code-version information exists across contracts, but complete rendering/aggregation-condition persistence as stated was not confirmed.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-048,FR-048,Requirement,PARTIAL_MATCH,Case B,overlap、balance、weight、sample loss等をDiagnostics Resultとして分離保存する,Estimator-applicable causal diagnostics,D1,ACTIVE,IMPLEMENTED,BASELINE,predictive_scientific,,全estimatorへ同一diagnostic setを強制せず適用可能なdiagnosticを生成するcurrent capability modelを正とする。,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,"Causal diagnostics exist and estimator capabilities declare several diagnostics, but the full overlap/balance/weight/sample-loss set is not uniformly produced.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-051,FR-051,Requirement,PARTIAL_MATCH,Case B,同一Project・Datasetの先行Discoveryを確認し、確認的Estimationへ探索後推論警告を保存する,Prior exploratory use warning before confirmatory estimation,D2,ACTIVE,PARTIAL,ENH-E5,scientific_comparability,,探索後推論guardをFamily handoffと一貫して完成させる。,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,"Cross-analysis scientific warning behavior exists in parts of the product, but the exact same-Project/same-Dataset prior-Discovery warning contract was not fully confirmed.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-054,FR-054,Requirement,PARTIAL_MATCH,Case B,Causal ResultからQuestion、Design、Graph、Eligibility、上流Resultへ遡れる,Causal upstream lineage completeness,D2,ACTIVE,PARTIAL,ENH-E5,lineage_traceability,,Question/Design/Graph/Eligibility/upstream Resultへの意味的traceabilityを完成させる。,product/application/scientific_validation_service.py; capabilities/causal/workflow.py; graph services/domain,"Canonical lineage covers major upstream entities, but the full Question/Design/Graph/Eligibility/upstream Result chain as one complete contract is not fully represented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-068,FR-068,Requirement,PARTIAL_MATCH,Case B,prediction、residual / error、metric、model、preprocessorをArtifactとして保存する,Result vs Artifact responsibility for predictive outputs,D1,ACTIVE,IMPLEMENTED,BASELINE,canonical_result_artifact,,model/preprocessor/prediction等のArtifactとmetric/error等のResult payload責務をcurrent canonical modelとして採用する。,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,"Model/preprocessor/prediction artifacts exist, but metrics/errors are primarily Result payloads rather than all being Artifact resources as stated.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-072,FR-072,Requirement,PARTIAL_MATCH,Case B,同一Taskのmodel、split、feature、metric差分を比較できる,Predictive comparison semantic guard,D2,ACTIVE,PARTIAL,ENH-E5,scientific_comparability,,AR-017と同一root decision。,capabilities/predictive/validation.py; planner.py; metrics.py; training/explanation runners,Comparison enforces same family/result type; it does not fully validate same Task/split/feature/metric semantics.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-082,FR-082,Requirement,PARTIAL_MATCH,Case B,同一idempotency keyと同一bodyのCommandを重複実行しない,Command idempotency semantics/coverage,D2,ACTIVE,PARTIAL,ENH-E5,command_idempotency,,FR-114bと同一root decision。,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,"Idempotency exists on selected command endpoints, not every Command universally.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-086a,FR-086,Requirement,PARTIAL_MATCH,Case B,Stageごとのtimeout、resource limit、random seedを記録する,Effective random seed persistence for stochastic stages,D2,ACTIVE,PARTIAL,ENH-E5,reproducibility,,再現性の直接入力であるeffective seedを保存する。,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,"Random seed and some timeout/lifecycle data exist, but a universal per-stage timeout/resource-limit/random-seed persisted contract is not implemented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-086b,FR-086,Requirement,PARTIAL_MATCH,Case B,Stageごとのtimeout、resource limit、random seedを記録する,Per-stage timeout/resource limit persistence,D3,DEFERRED,PARTIAL,FUTURE,resource_control,TD-004,resource control decisionへ統合して延期する。,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,"Random seed and some timeout/lifecycle data exist, but a universal per-stage timeout/resource-limit/random-seed persisted contract is not implemented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-087a,FR-087,Requirement,PARTIAL_MATCH,Case B,code、runtime、library、schema versionをExecution snapshotへ固定する,Code/runtime/schema snapshot metadata,D1,ACTIVE,IMPLEMENTED,BASELINE,reproducibility,,current execution snapshot metadataを正本とする。,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,"Execution stores code_version/runtime_version_json/schema snapshot, but universal explicit library-version capture was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-087b,FR-087,Requirement,PARTIAL_MATCH,Case B,code、runtime、library、schema versionをExecution snapshotへ固定する,Effective library version capture,D2,ACTIVE,PARTIAL,ENH-E5,reproducibility,,再現性coverageを完成させるためlibrary environmentを明示記録する。,product/workflow/*; domain/execution_plan.py; execution.py; stage_execution.py; worker,"Execution stores code_version/runtime_version_json/schema snapshot, but universal explicit library-version capture was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-095,FR-095,Requirement,PARTIAL_MATCH,Case B,ResultからContext、Dataset、View、Spec、Plan、Stage、Artifactへ遡る,Result lineage to Context/Dataset/View/Spec/Plan/Stage/Artifact,D2,ACTIVE,PARTIAL,ENH-E5,lineage_traceability,,既存lineageをSpec/Plan/Stage chainまで完成させる。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,"Lineage covers Project/Dataset/View/Execution/Result/Artifact/Graph/Annotation relationships, but does not expose the full Spec/Plan/Stage chain requested.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-107,FR-107,Requirement,PARTIAL_MATCH,Case B,操作可否をBackendの正本状態から導出し、拒否理由を表示する,Backend-authoritative action availability / rejection reason,D2,ACTIVE,PARTIAL,ENH-E5,frontend_navigation_and_state,,新Family/Stage UIでfrontend独自推測を避けるため統一する。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,"Some APIs expose allowed_actions/backend-derived state, but this policy is not uniformly enforced across all controls.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-109,FR-109,Requirement,PARTIAL_MATCH,Case B,非同期処理のloading、empty、partial、error、cancel状態を区別する,Async UI state taxonomy loading/empty/partial/error/cancel,D2,ACTIVE,PARTIAL,ENH-E5,frontend_navigation_and_state,,ENH-E5 UI改修の直接領域としてstate semanticsを統一する。,product/persistence/orm_models.py; product/application/product_closure_service.py; comparison/lineage services; results router,"Loading/empty/error states exist in places, but the full loading/empty/partial/error/cancel state taxonomy is not consistently implemented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-111,FR-111,Requirement,PARTIAL_MATCH,Case B,keyboard操作、focus、label、contrast等の基本accessibilityを満たす,Keyboard/focus/label/contrast accessibility,D2,ACTIVE,PARTIAL,ENH-E5,frontend_navigation_and_state,,新UI surfaceで基本accessibility acceptanceを完成させる。,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,"Labels/ARIA/keyboard-related markup exists, but complete keyboard/focus/contrast conformance was not demonstrated.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-120a,FR-120,Requirement,PARTIAL_MATCH,Case B,OpenAPIとSchema exampleを正本contractと同期する,OpenAPI generated from runtime API schema,D1,ACTIVE,IMPLEMENTED,BASELINE,architecture_overstatement,,current FastAPI OpenAPI generationを正本として維持する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"FastAPI generates OpenAPI, but systematic synchronization of canonical schema examples was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-120b,FR-120,Requirement,PARTIAL_MATCH,Case B,OpenAPIとSchema exampleを正本contractと同期する,Systematic canonical schema-example synchronization,D3,DEFERRED,PARTIAL,FUTURE,architecture_overstatement,TD-013,全exampleの同期/検証基盤はENH-E5のdirect dependencyではない。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"FastAPI generates OpenAPI, but systematic synchronization of canonical schema examples was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-121,FR-121,Requirement,PARTIAL_MATCH,Case B,Project単位でread、write、operate権限を検証する,Uniform Project-scoped authorization,D2,ACTIVE,PARTIAL,ENH-E5,authorization,,D10-005bと同一root decision。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"Project Closure enforces OWNER/EDITOR/VIEWER roles, but not all routers uniformly pass through that authorization boundary.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-123a,FR-123,Requirement,PARTIAL_MATCH,Case B,preview、artifact、prediction outputへの機微データ露出を権限と設定で制限する,Project authorization across preview/artifact/prediction output,D2,ACTIVE,PARTIAL,ENH-E5,security_privacy,,既存Project authorization boundaryをsensitive output surfaceへ一貫適用する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"Sensitive Result payload suppression exists, but uniform policy over preview/artifact/prediction output and configurable controls is not complete.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
FR-123b,FR-123,Requirement,PARTIAL_MATCH,Case B,preview、artifact、prediction outputへの機微データ露出を権限と設定で制限する,Configurable exposure policy based on sensitive metadata,D3,DEFERRED,PARTIAL,FUTURE,security_privacy,TD-006,FR-021のfuture governance targetと統合して延期する。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"Sensitive Result payload suppression exists, but uniform policy over preview/artifact/prediction output and configurable controls is not complete.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
FR-124a,FR-124,Requirement,PARTIAL_MATCH,Case B,Artifact downloadでProject権限とcontent dispositionを検証する,Existing project-scoped artifact download + safe content disposition,D1,ACTIVE,IMPLEMENTED,BASELINE,authorization,,現実装で成立しているdownload contractを正本とする。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"Project-scoped closure artifact download enforces project role and safe headers, but not every artifact route shares the same authorization boundary.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
FR-124b,FR-124,Requirement,PARTIAL_MATCH,Case B,Artifact downloadでProject権限とcontent dispositionを検証する,Uniform artifact-route authorization coverage,D2,ACTIVE,PARTIAL,ENH-E5,authorization,,D10-005b/FR-121と同一root decision。,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,"Project-scoped closure artifact download enforces project role and safe headers, but not every artifact route shares the same authorization boundary.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
NFR-001a,NFR-001,Requirement,PARTIAL_MATCH,Case B,同一snapshot、code version、seed、runtimeで再実行可能な情報を保持する,Current reproducibility snapshot/code/runtime metadata,D1,ACTIVE,IMPLEMENTED,BASELINE,reproducibility,,現実装で成立する再現性metadataを正本とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Reproducibility metadata is substantial, but complete snapshot/code/seed/runtime coverage for every execution path was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-001b,NFR-001,Requirement,PARTIAL_MATCH,Case B,同一snapshot、code version、seed、runtimeで再実行可能な情報を保持する,Seed/library-environment reproducibility coverage,D2,ACTIVE,PARTIAL,ENH-E5,reproducibility,,FR-086a/FR-087bの上位NFRとしてcoverageを完成させる。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Reproducibility metadata is substantial, but complete snapshot/code/seed/runtime coverage for every execution path was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
NFR-002,NFR-002,Requirement,PARTIAL_MATCH,Case B,すべてのResultがProject、Context、Dataset、Spec、Execution、Artifactへ遡れる,Complete Result traceability to Project/Context/Dataset/Spec/Execution/Artifact,D2,ACTIVE,PARTIAL,ENH-E5,lineage_traceability,,FR-008/054/095と整合してtraceabilityを完成させる。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Lineage is substantial but does not provide the full Project/Context/Dataset/Spec/Execution/Artifact trace for every Result as stated.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
NFR-006a,NFR-006,Requirement,PARTIAL_MATCH,Case B,Worker再起動時もclaim、retry、artifact commitの二重実行を防ぐ,Current lease/claim/retry mechanics,D1,ACTIVE,IMPLEMENTED,BASELINE,worker_reliability,,current worker lease/claim/retry contractを正本とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Lease/claim/retry mechanisms exist; exactly-once artifact commit across worker restart was not fully established.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-006b,NFR-006,Requirement,PARTIAL_MATCH,Case B,Worker再起動時もclaim、retry、artifact commitの二重実行を防ぐ,Idempotent Artifact commit across retry/restart,D2,ACTIVE,PARTIAL,ENH-E5,worker_reliability,,再実行時の重複副作用防止をENH-E5で補完する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Lease/claim/retry mechanisms exist; exactly-once artifact commit across worker restart was not fully established.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
NFR-007,NFR-007,Requirement,PARTIAL_MATCH,Case B,Metadata transactionとArtifact書込みの失敗補償を定義する,Metadata/Artifact cross-store failure compensation,D3,DEFERRED,PARTIAL,FUTURE,worker_reliability,TD-014,独立したcross-store compensation protocolとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Metadata transactions and artifact storage exist, but a complete documented/implemented compensation protocol for cross-store failures was not established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-008a,NFR-008,Requirement,PARTIAL_MATCH,Case B,認証、認可、入力検証、path traversal防止、secret非露出を行う,Existing input validation/path safeguards,D1,ACTIVE,IMPLEMENTED,BASELINE,security_privacy,,current実装で確認されたsecurity safeguardsを正本とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Input validation/path safeguards exist in parts; authentication/authorization is not uniformly applied to all API routes.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-008b,NFR-008,Requirement,PARTIAL_MATCH,Case B,認証、認可、入力検証、path traversal防止、secret非露出を行う,Project authorization coverage,D2,ACTIVE,PARTIAL,ENH-E5,security_privacy,,Authorization root decisionを継承する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Input validation/path safeguards exist in parts; authentication/authorization is not uniformly applied to all API routes.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
NFR-008c,NFR-008,Requirement,PARTIAL_MATCH,Case B,認証、認可、入力検証、path traversal防止、secret非露出を行う,Production-grade authentication/system security hardening,D3,DEFERRED,PARTIAL,FUTURE,security_privacy,TD-015,独立security enhancementとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Input validation/path safeguards exist in parts; authentication/authorization is not uniformly applied to all API routes.,03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-009a,NFR-009,Requirement,PARTIAL_MATCH,Case B,機微列、prediction、local explanationの表示・exportを最小化できる,Existing sensitive Result suppression,D1,ACTIVE,IMPLEMENTED,BASELINE,security_privacy,,current sensitive-output suppressionを正本として維持する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Sensitive output suppression exists for Result detail, but full configurable minimization across prediction/local explanations/exports is partial.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-009b,NFR-009,Requirement,PARTIAL_MATCH,Case B,機微列、prediction、local explanationの表示・exportを最小化できる,Configurable prediction/local-explanation/export minimization,D3,DEFERRED,PARTIAL,FUTURE,security_privacy,TD-006,data-use/sensitive-output governance future targetへ統合する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Sensitive output suppression exists for Result detail, but full configurable minimization across prediction/local explanations/exports is partial.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-010a,NFR-010,Requirement,PARTIAL_MATCH,Case B,APIとWorkerの障害を分離し、実行中断と再開可否を明示する,API/Worker process separation,D1,ACTIVE,IMPLEMENTED,BASELINE,worker_reliability,,current process separationを正本とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"API and Worker are separate processes/contracts, but explicit restart/resume semantics are partial.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-010b,NFR-010,Requirement,PARTIAL_MATCH,Case B,APIとWorkerの障害を分離し、実行中断と再開可否を明示する,Explicit restart/resume semantics,D3,DEFERRED,PARTIAL,FUTURE,worker_reliability,TD-017,独立worker reliability enhancementとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"API and Worker are separate processes/contracts, but explicit restart/resume semantics are partial.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-011a,NFR-011,Requirement,PARTIAL_MATCH,Case B,structured log、correlation id、execution id、stage id、metricを出力する,Existing request/execution/stage logging identifiers,D1,ACTIVE,IMPLEMENTED,BASELINE,worker_reliability,,current logging contextを正本とする。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Request/execution/stage identifiers exist, but comprehensive structured logs and metrics are not uniformly implemented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
NFR-011b,NFR-011,Requirement,PARTIAL_MATCH,Case B,structured log、correlation id、execution id、stage id、metricを出力する,Comprehensive structured logging + metrics,D3,DEFERRED,PARTIAL,FUTURE,worker_reliability,TD-018,observability overhaulとして延期する。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Request/execution/stage identifiers exist, but comprehensive structured logs and metrics are not uniformly implemented.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; 90_technical_debt_and_future_enhancements.md
NFR-012,NFR-012,Requirement,PARTIAL_MATCH,Case B,主要操作をkeyboardで実行でき、状態を色だけで伝えない,Keyboard + non-color state accessibility,D2,ACTIVE,PARTIAL,ENH-E5,frontend_navigation_and_state,,FR-111と同一root decision。,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,"Some accessibility support exists, but complete keyboard/non-color state conformance was not evidenced.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
AR-004,AR-004,Requirement,PARTIAL_MATCH,Case B,同一データで探索後に確認的分析を行った事実を警告とLineageで保持する,Same-data exploratory→confirmatory warning + lineage,D2,ACTIVE,PARTIAL,ENH-E5,scientific_comparability,,FR-051と同一root decision。,family capability validation/runners; comparison/lineage/product closure services,"Warnings/lineage support exists, but the exact same-data exploratory-then-confirmatory tracking contract was not fully established.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
AR-020,AR-020,Requirement,PARTIAL_MATCH,Case B,local explanationやprediction rowを機微情報として扱える,Treat local explanation/prediction row as potentially sensitive output,D2,ACTIVE,PARTIAL,ENH-E5,security_privacy,,row-level outputを既存authorization/sensitive boundaryへ載せる。,family capability validation/runners; comparison/lineage/product closure services,"Sensitive Result handling exists, but row-level prediction/local-explanation handling as a uniform policy is partial.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 10_requirements_definition.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md; GXX/06_*.md or Pxx; GXX/07_*.md
D22-003a,D22-003,Design,PARTIAL_MATCH,Case B,"SQL, Filesystem/Object Storage, scientific library, ML library are implemented Port/Adapter variants",Current implemented Port/Adapter boundary,D1,ACTIVE,IMPLEMENTED,BASELINE,storage_portability,,sourceで確認されたLocalArtifactStore/scientific-core等の境界だけをcurrent designに記載する。,src/ariadne/adapters; interfaces/web_api/dependencies.py; product/ports/scientific_core.py,"LocalArtifactStore exists and scientific core has a port boundary, but there is no object-storage adapter and adapter taxonomy is not implemented as broadly as written.",03_requirements_revision.md; 04_design_revision.md; 05_requirements_design_consistency_and_traceability_review.md; 22_product_basic_design.md; 23_api_interface_design.md; 30_detailed_design.md
