ID,Area,Requirement,Priority,Classification,Status,E4_source_evidence,E4_doc_diagnosis,Notes
FR-111,UI,keyboard操作、focus、label、contrast等の基本accessibilityを満たす,MUST,③-1,PARTIAL_MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Case B,"Labels/ARIA/keyboard-related markup exists, but complete keyboard/focus/contrast conformance was not demonstrated."
FR-112,UI,Exploratory、Predictive、Causalの用語と警告を明示的に分離する,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-113,API / CLI,HTTP APIをversioned pathとversioned payloadで提供する,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-114,API / CLI,作成系APIでidempotency keyを受け付ける,MUST,③-1,MISMATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Case B,"Some create endpoints accept Idempotency-Key, but Project creation and other create APIs do not."
FR-115,API / CLI,validation、conflict、not found、forbidden、execution failureをcanonical errorで返す,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-116,API / CLI,既存Executionから再実行用prefillを取得できる,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-117,API / CLI,ExportをAPIとUIから同一contractで生成する,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-118,API / CLI,CLIからFamily別Specificationをsubmitしstatus/resultを取得できる,SHOULD,③-1,MISMATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,Case B,Current scientific CLI runs local/headless scientific stages; it is not a generic Product CLI for submitting Family specifications and polling Product status/results.
FR-119,API / CLI,履歴を持たないCLIは探索後警告等を独自推測しない,MUST,③-1,MATCH,frontend/app.js; frontend/index.html; interfaces/web_api/app.py; routers,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-120,API / CLI,OpenAPIとSchema exampleを正本contractと同期する,MUST,③-1,PARTIAL_MATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,"FastAPI generates OpenAPI, but systematic synchronization of canonical schema examples was not established."
FR-121,Security / Ops,Project単位でread、write、operate権限を検証する,MUST,③-1,PARTIAL_MATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,"Project Closure enforces OWNER/EDITOR/VIEWER roles, but not all routers uniformly pass through that authorization boundary."
FR-122,Security / Ops,作成、更新、archive、execution、cancel、retry、exportをaudit logへ記録する,MUST,③-1,MISMATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,No general AuditLog domain/persistence resource implementing the listed action audit contract was found.
FR-123,Security / Ops,preview、artifact、prediction outputへの機微データ露出を権限と設定で制限する,MUST,③-1,PARTIAL_MATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,"Sensitive Result payload suppression exists, but uniform policy over preview/artifact/prediction output and configurable controls is not complete."
FR-124,Security / Ops,Artifact downloadでProject権限とcontent dispositionを検証する,MUST,③-1,PARTIAL_MATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,"Project-scoped closure artifact download enforces project role and safe headers, but not every artifact route shares the same authorization boundary."
FR-125,Security / Ops,Project archive後も監査・Lineageを保持する,MUST,③-1,MATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
FR-126,Security / Ops,Metadata、Artifact、logの保持期間と削除policyを設定できる,SHOULD,③-1,MISMATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,No configurable metadata/artifact/log retention and deletion policy implementation was found.
FR-127,Security / Ops,API、DB、Worker、Artifact Storeのhealth / readinessを提供する,MUST,③-1,MISMATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,"`/health/ready` returns only `{""status"":""ok""}` and does not check API/DB/Worker/Artifact Store component readiness."
FR-128,Security / Ops,Algorithm、Runner、size limit、timeoutをconfigurationで管理する,MUST,③-1,MISMATCH,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,Case B,Algorithm/runner/size/timeout configuration is not comprehensively externalized/configurable.
FR-129,Navigation,Exploratory / Predictive / Causalをfirst-classなAnalysis Familyとして常時選択可能にする,MUST,③-2,TARGET_CHANGE,interfaces/web_api/app.py; routers; product_closure_service.py; dependencies.py; adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-130,Navigation,Current Familyをactive stateとcanonical routeの双方で一意に識別できる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-131,Navigation,Family-local navigationにはselected Familyが所有するNavigation Stageだけを表示する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-132,Navigation,Family切替時は対象Familyが宣言するdefault Navigation Stageへ遷移する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-133,Navigation,FamilyごとにStage ID、label、order、default Stageを独立して定義できる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-134,Navigation,Family間でStage数・名称を揃える目的のdummy/common Stageを導入しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-135,Navigation,Navigation Stageの表示順をwizard completion、runtime dependency、実行前提として強制しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-136,Navigation,canonical URLからProject、Family、Navigation Stageを復元できる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-137,Navigation,reload、browser back、browser forwardでFamily / Stage stateをdeterministicに復元できる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-138,Navigation,unknown Family / Stageをsilent fallbackで別contextへ意味変換せず、明示的errorと有効な遷移先を提示する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-139,Navigation,Project Management、Research Context、Data、Results / Lineage等をAnalytical Familyと同一taxonomyへ混在させない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-140,Navigation / Runtime,Navigation Stageをruntime `StageType` / `StageDefinition` / `StageExecution`として再利用・継承しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-141,Navigation / Runtime,Navigation StageとExecution Stageの1:1 mappingを要求するcontractを導入しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-142,API / CLI,CLI / Python library / backend use case / runtime executorはCurrent Navigation Stageを指定せずanalysis executionを開始できる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-143,Workflow,runtime layerはNavigation Stage ID、browser route、tab/sidebar stateへ依存しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-144,Capability,concrete Navigation Stage catalogは各Family-specific Capabilityが所有する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-145,Capability,generic application layerはFamily-specific Stage semanticsを集中所有しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-146,Exploratory,`Profile / Data Quality / Distribution / Relationships / Comparison / Findings`をFamily-local Navigation Stageとして提供する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-147,Exploratory,Visualizationは各分析Stageの表現手段とし、独立Navigation Stageを設けない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-148,Exploratory,Findingsは既存Result / Annotation / Lineageを利用可能とし、新規persistent Finding resourceを必須化しない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-149,Predictive,`Setup / Train / Predict / Metrics / Explainability / Model Management`をFamily-local Navigation Stageとして提供する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-150,Predictive,既存Predictive UIの設定項目、validation、generated `predictive-analysis-spec/1` semanticsを全量保持する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-151,Predictive,MetricsとExplainabilityを異なる目的のNavigation Stageとして扱い、Predict Stage導入を理由に新規standalone scoring engineを必須化しない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-152,Predictive,Model Managementは現行scopeではfitted model、model card、artifact、lineageのread-oriented確認を中心とする,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-153,Causal,`Setup / Discovery / Identification / Estimation / Effects / Diagnostics / Sensitivity`をFamily-local Navigation Stageとして提供する,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-154,Causal,IdentificationとEstimationを別Navigation Stageとして扱い、識別可能性と有限標本推定を混同しない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-155,Causal,EstimationとEffectsを別Navigation Stageとして扱い、推定設定と推定結果の閲覧・利用を混同しない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-156,Causal,DiagnosticsとSensitivityを別Navigation Stageとして扱う,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-157,Domain / Compatibility,既存`AnalysisSpecification.analysis_family`をFamily discriminatorとして再利用し、duplicate Family field/enumを追加しない,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-158,Domain / Compatibility,AnalysisSpecification / ExecutionPlan / Execution / StageExecutionへNavigation Stage fieldを追加しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-159,Compatibility,legacy analytical routeはcanonical Family / Stage routeへ互換的にnormalizeできる,MUST,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-160,Compatibility,Family / Stage navigation導入を理由にDB schema migrationまたはnavigation-state DB persistenceを導入しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-161,Scope,LightGBM / DoWhy / EconML等のexternal analytical engineを必須dependencyとして追加しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
FR-162,Scope,Overview / FlagshipをAnalytical Family peerとして追加しない,MUST NOT,③-2,TARGET_CHANGE,E4 implementation source/tests,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-001,再現性,同一snapshot、code version、seed、runtimeで再実行可能な情報を保持する,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Reproducibility metadata is substantial, but complete snapshot/code/seed/runtime coverage for every execution path was not established."
NFR-002,追跡可能性,すべてのResultがProject、Context、Dataset、Spec、Execution、Artifactへ遡れる,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,Lineage is substantial but does not provide the full Project/Context/Dataset/Spec/Execution/Artifact trace for every Result as stated.
NFR-003,決定性,Canonical JSONとhash生成はfield順やprocessに依存しない,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-004,応答性能,通常一覧・詳細APIの95 percentileを2秒以内、重い集計は非同期化する,,③-1,MISMATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,No evidence of a 95th-percentile <=2s acceptance/performance implementation or regression gate was found.
NFR-005,拡張性,新Analysis Familyを既存Executor変更なしにRegistry追加できる,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-006,信頼性,Worker再起動時もclaim、retry、artifact commitの二重実行を防ぐ,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,Lease/claim/retry mechanisms exist; exactly-once artifact commit across worker restart was not fully established.
NFR-007,整合性,Metadata transactionとArtifact書込みの失敗補償を定義する,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Metadata transactions and artifact storage exist, but a complete documented/implemented compensation protocol for cross-store failures was not established."
NFR-008,安全性,認証、認可、入力検証、path traversal防止、secret非露出を行う,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,Input validation/path safeguards exist in parts; authentication/authorization is not uniformly applied to all API routes.
NFR-009,Privacy,機微列、prediction、local explanationの表示・exportを最小化できる,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Sensitive output suppression exists for Result detail, but full configurable minimization across prediction/local explanations/exports is partial."
NFR-010,可用性,APIとWorkerの障害を分離し、実行中断と再開可否を明示する,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"API and Worker are separate processes/contracts, but explicit restart/resume semantics are partial."
NFR-011,観測性,structured log、correlation id、execution id、stage id、metricを出力する,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Request/execution/stage identifiers exist, but comprehensive structured logs and metrics are not uniformly implemented."
NFR-012,Accessibility,主要操作をkeyboardで実行でき、状態を色だけで伝えない,,③-1,PARTIAL_MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Some accessibility support exists, but complete keyboard/non-color state conformance was not evidenced."
NFR-013,Schema evolution,すべてのSpec、Plan、Result、Artifact descriptorにschema versionを持つ,,③-1,MISMATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"Spec/Plan have schema versions, but canonical Result/Artifact descriptors do not each directly carry a generic schema_version."
NFR-014,互換性,`causal-analysis-spec/2`の正規contractおよび保存済みCausal Resultをschema versionに従って読取可能に保つ,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-015,Testability,Domain、Planner、Runner、API、Worker、UI、scientific benchmarkを分離testできる,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-016,Scientific transparency,仮定、warning、negative result、limitationを省略せず表示する,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-017,Resource control,upload size、row count、column count、memory、timeoutに明示上限を持つ,,③-1,MISMATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,No comprehensive explicit limits for upload size/rows/columns/memory/timeout were found.
NFR-018,Dependency direction,Product DomainからWeb Framework、ORMおよびlegacy packageへ依存しない,,③-1,MATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
NFR-019,Documentation,現行の正本requirements/design snapshotだけで機能・データ・API・詳細設計を理解できる,,③-1,UNVERIFIED,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,Documentation-only requirement; cannot be established from source implementation alone.
NFR-020,移植性,Local filesystemとobject storageをPortで切り替えられる,,③-1,MISMATCH,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,Case B,"ArtifactStore Port exists, but current adapter/wiring contains only LocalArtifactStore; no object-storage adapter is available to switch to."
NFR-021,Navigation separation,Navigation concernの変更がruntime execution lifecycleへ不要に伝播しない,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-022,Navigation determinism,同一Project / Family / Stage routeは同一navigation stateへdeterministicに復元される,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-023,Maintainability,Family-specific Navigation Stage catalogをCapability ownershipで局所化する,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-024,Testability,Navigation descriptor、route、renderer binding、runtime independenceをunit/integration/E2Eで分離検証できる,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-025,Portability,CLI / library executionがWeb UI route、tab/sidebar state、NavigationStageDescriptorへ依存しない,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-026,Accessibility,Current Family / Stageを色だけでなくsemantic active state、label、focus等でも識別できる,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
NFR-027,Performance,navigation metadata取得・renderingがanalysis executionのcritical pathへ不要なI/Oまたはblocking dependencyを追加しない,,③-2,TARGET_CHANGE,cross-cutting source/tests: domain/workflow/persistence/web API/worker/frontend/adapters,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-001,Scientific/Analytical,探索的可視化は仮説生成であり、因果結論または確認的検定へ自動変換しない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-002,Scientific/Analytical,予測性能は因果効果を示さない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-003,Scientific/Analytical,Predictive Explanationはmodel behaviorの説明でありcausal explanationではない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-004,Scientific/Analytical,同一データで探索後に確認的分析を行った事実を警告とLineageで保持する,,③-1,PARTIAL_MATCH,family capability validation/runners; comparison/lineage/product closure services,Case B,"Warnings/lineage support exists, but the exact same-data exploratory-then-confirmatory tracking contract was not fully established."
AR-005,Scientific/Analytical,因果推定はIdentification ResultとData Eligibility Resultを参照してgateする,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-006,Scientific/Analytical,Identification statusは全reasonを収集後に決定する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-007,Scientific/Analytical,Collider判定はback-door path上のcolliderまたはその子孫を対象とする,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-008,Scientific/Analytical,Eligibilityの型はBINARY、CONTINUOUS、UNSUPPORTED等の正規値で保存する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-009,Scientific/Analytical,外部libraryのdtype objectまたはmodel objectをJSON正本へ保存しない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-010,Scientific/Analytical,Estimation前提不成立時は数値を無理に返さず分析状態を保存する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-011,Scientific/Analytical,Predictive preprocessingはtrain partitionのみでfitする,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-012,Scientific/Analytical,test partitionをfeature selection、model selection、threshold selectionに利用しない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-013,Scientific/Analytical,時系列Taskは未来観測がtrain featureへ混入しないsplitを使用する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-014,Scientific/Analytical,同一entityがtrainとtestへ跨る場合はgroup leakageを検査する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-015,Scientific/Analytical,classification metricはclass imbalance、threshold、calibrationと併記する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-016,Scientific/Analytical,subgroup metricはsample sizeと不確実性を併記する,,③-1,MISMATCH,family capability validation/runners; comparison/lineage/product closure services,Case B,Subgroup metrics/uncertainty output is not implemented.
AR-017,Scientific/Analytical,Result比較は同一Task / Estimand / Outcome等の比較可能性を検証する,,③-1,MISMATCH,family capability validation/runners; comparison/lineage/product closure services,Case B,"Result comparison validates same family/result type, not same Task/Estimand/Outcome semantic comparability."
AR-018,Scientific/Analytical,AUC、RMSE、ATE等を単一の優劣scoreへ変換しない,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-019,Scientific/Analytical,random seedだけでなくsplit indexまたはpartition artifactを保存する,,③-1,MATCH,family capability validation/runners; comparison/lineage/product closure services,,Implementation contract confirmed in the E4 source/test surface for the requirement as written.
AR-020,Scientific/Analytical,local explanationやprediction rowを機微情報として扱える,,③-1,PARTIAL_MATCH,family capability validation/runners; comparison/lineage/product closure services,Case B,"Sensitive Result handling exists, but row-level prediction/local-explanation handling as a uniform policy is partial."
AR-021,Scientific/Analytical,Navigation Stageの表示順を分析上必須の実行順序として解釈しない,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-022,Scientific/Analytical,Family間でStage数・名称を揃えることを科学的workflow要件としない,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-023,Scientific/Analytical,Causal Identificationでは観測データと仮定からestimandが識別可能かをEstimationと分離して扱う,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-024,Scientific/Analytical,Causal Effectsは推定されたeffectの閲覧・利用を扱い、estimator configurationと混在させない,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-025,Scientific/Analytical,Predictive MetricsとPredictive Explainabilityを別目的として扱い、feature importance等をcausal effectへ読み替えない,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
AR-026,Scientific/Analytical,Exploratory Findings / visualizationをcausal conclusionまたはconfirmatory resultへ自動昇格しない,,③-2,TARGET_CHANGE,family capability validation/runners; comparison/lineage/product closure services,,ENH-E5 change scope; excluded from ③-1 ↔ ① alignment verdict.
